K,ColorID,Red,Green,Blue
100,0,50,53,57
100,1,228,166,81
100,2,8,16,29
100,3,161,178,187
100,4,129,96,72
100,5,97,126,141
100,6,141,84,50
100,7,24,70,97
100,8,228,216,205
100,9,187,122,64
100,10,157,140,103
100,11,228,107,27
100,12,19,34,49
100,13,53,83,95
100,14,252,181,66
100,15,4,6,11
100,16,94,81,69
100,17,84,122,121
100,18,248,145,52
100,19,239,214,136
100,20,43,44,46
100,21,197,82,17
100,22,189,166,100
100,23,100,132,121
100,24,59,104,117
100,25,102,74,50
100,26,11,41,64
100,27,241,214,170
100,28,138,159,169
100,29,232,136,56
100,30,169,108,61
100,31,26,30,38
100,32,65,61,58
100,33,115,107,91
100,34,185,186,187
100,35,206,214,216
100,36,56,41,33
100,37,197,114,50
100,38,219,181,99
100,39,251,241,194
100,40,23,57,79
100,41,117,138,119
100,42,142,111,74
100,43,247,207,107
100,44,191,196,201
100,45,154,82,39
100,46,19,19,19
100,47,3,10,23
100,48,33,78,103
100,49,212,187,172
100,50,49,95,112
100,51,180,177,176
100,52,131,123,99
100,53,134,74,40
100,54,211,130,59
100,55,191,135,76
100,56,231,234,234
100,57,235,93,9
100,58,175,140,90
100,59,38,33,30
100,60,184,152,126
100,61,120,87,59
100,62,112,63,35
100,63,33,38,44
100,64,73,74,72
100,65,72,98,103
100,66,158,124,84
100,67,242,185,85
100,68,146,152,117
100,69,208,156,88
100,70,192,98,36
100,71,251,200,87
100,72,173,94,43
100,73,2,2,2
100,74,12,25,39
100,75,51,64,72
100,76,248,166,89
100,77,123,144,154
100,78,71,112,120
100,79,242,128,40
100,80,153,97,56
100,81,59,50,45
100,82,23,24,29
100,83,74,54,39
100,84,11,11,14
100,85,40,87,109
100,86,84,67,55
100,87,33,48,60
100,88,169,73,20
100,89,217,116,43
100,90,231,176,120
100,91,95,93,84
100,92,249,161,62
100,93,227,149,67
100,94,97,113,105
100,95,171,161,105
100,96,211,145,72
100,97,14,48,73
100,98,194,171,140
100,99,215,196,187
