K,ColorID,Red,Green,Blue
150,0,53,56,59
150,1,225,152,77
150,2,14,19,28
150,3,129,97,75
150,4,139,144,144
150,5,191,196,201
150,6,74,100,104
150,7,178,88,32
150,8,24,69,97
150,9,119,79,50
150,10,243,225,158
150,11,31,33,37
150,12,225,139,60
150,13,165,136,85
150,14,2,2,2
150,15,74,65,58
150,16,244,230,212
150,17,253,184,66
150,18,74,114,120
150,19,233,109,28
150,20,14,48,73
150,21,155,82,39
150,22,92,127,121
150,23,47,94,112
150,24,177,150,126
150,25,185,186,187
150,26,160,98,52
150,27,199,115,51
150,28,190,159,111
150,29,121,112,92
150,30,48,48,49
150,31,100,93,81
150,32,214,196,187
150,33,12,34,53
150,34,238,154,64
150,35,102,71,46
150,36,4,8,16
150,37,68,45,29
150,38,241,192,109
150,39,164,143,104
150,40,84,86,84
150,41,249,211,109
150,42,212,145,71
150,43,138,160,171
150,44,23,21,21
150,45,205,214,215
150,46,237,138,53
150,47,143,151,117
150,48,135,79,46
150,49,38,85,108
150,50,22,26,34
150,51,110,118,105
150,52,228,169,81
150,53,112,62,34
150,54,171,93,43
150,55,65,108,118
150,56,180,177,176
150,57,142,112,74
150,58,74,74,72
150,59,253,246,192
150,60,90,78,66
150,61,170,109,63
150,62,50,81,94
150,63,202,182,166
150,64,30,52,69
150,65,246,128,37
150,66,213,104,31
150,67,135,122,94
150,68,22,42,59
150,69,53,43,38
150,70,103,133,147
150,71,251,159,59
150,72,210,181,101
150,73,169,72,20
150,74,92,111,106
150,75,118,141,120
150,76,63,60,58
150,77,242,213,130
150,78,13,27,41
150,79,5,6,8
150,80,145,86,51
150,81,45,35,30
150,82,198,134,72
150,83,10,42,66
150,84,239,95,9
150,85,141,75,37
150,86,160,177,186
150,87,218,88,13
150,88,228,120,42
150,89,122,91,61
150,90,187,168,99
150,91,249,167,90
150,92,153,121,88
150,93,249,203,94
150,94,75,57,42
150,95,220,227,229
150,96,60,66,69
150,97,37,45,52
150,98,87,67,53
150,99,194,170,137
150,100,249,169,67
150,101,243,243,240
150,102,197,148,83
150,103,224,214,207
150,104,61,51,45
150,105,182,105,48
150,106,6,15,29
150,107,21,56,80
150,108,236,204,177
150,109,183,133,79
150,110,226,174,115
150,111,108,102,91
150,112,30,38,46
150,113,211,131,60
150,114,41,41,43
150,115,151,102,63
150,116,21,33,45
150,117,179,144,93
150,118,193,99,36
150,119,164,161,108
150,120,240,185,86
150,121,214,188,174
150,122,13,13,14
150,123,105,81,63
150,124,2,10,23
150,125,82,120,125
150,126,57,103,116
150,127,60,91,100
150,128,251,197,83
150,129,195,81,17
150,130,123,128,110
150,131,221,158,95
150,132,215,120,48
150,133,242,220,196
150,134,187,122,64
150,135,163,121,77
150,136,7,13,24
150,137,42,52,60
150,138,249,143,49
150,139,44,64,77
150,140,30,28,28
150,141,122,146,161
150,142,130,71,38
150,143,226,195,145
150,144,146,135,103
150,145,208,158,85
150,146,31,77,102
150,147,8,20,36
150,148,103,134,122
150,149,136,95,60
