K,ColorID,Red,Green,Blue
125,0,61,61,62
125,1,228,167,81
125,2,10,18,31
125,3,173,186,193
125,4,119,96,75
125,5,87,119,137
125,6,142,84,49
125,7,24,70,97
125,8,228,218,209
125,9,186,122,64
125,10,164,141,104
125,11,233,110,28
125,12,17,34,50
125,13,50,80,94
125,14,253,182,65
125,15,5,6,10
125,16,88,80,70
125,17,92,114,108
125,18,249,146,52
125,19,239,213,135
125,20,43,45,47
125,21,192,81,19
125,22,204,176,100
125,23,100,132,122
125,24,59,104,117
125,25,105,70,45
125,26,11,41,65
125,27,237,205,177
125,28,131,153,164
125,29,224,133,57
125,30,169,107,60
125,31,20,29,40
125,32,70,60,53
125,33,109,101,87
125,34,187,186,186
125,35,205,214,215
125,36,55,40,30
125,37,198,114,50
125,38,228,184,98
125,39,253,247,193
125,40,23,57,79
125,41,118,140,119
125,42,145,111,72
125,43,248,207,106
125,44,191,196,201
125,45,154,81,38
125,46,19,19,19
125,47,3,10,22
125,48,32,78,103
125,49,212,187,172
125,50,48,95,113
125,51,180,177,176
125,52,134,119,90
125,53,134,74,40
125,54,209,129,60
125,55,192,135,75
125,56,221,227,229
125,57,239,95,9
125,58,176,140,88
125,59,43,38,37
125,60,185,153,126
125,61,123,88,57
125,62,112,62,34
125,63,33,39,46
125,64,72,77,78
125,65,74,99,103
125,66,159,124,83
125,67,244,182,80
125,68,141,148,121
125,69,208,155,87
125,70,199,95,29
125,71,250,199,86
125,72,171,93,42
125,73,2,2,2
125,74,10,25,40
125,75,50,65,72
125,76,248,166,89
125,77,110,136,148
125,78,71,112,120
125,79,241,128,40
125,80,153,96,55
125,81,57,49,44
125,82,23,24,30
125,83,78,58,43
125,84,10,11,14
125,85,40,87,109
125,86,87,68,54
125,87,25,44,59
125,88,169,73,20
125,89,217,117,43
125,90,230,176,120
125,91,93,90,82
125,92,249,161,62
125,93,227,149,67
125,94,113,121,107
125,95,187,165,100
125,96,211,145,73
125,97,13,48,73
125,98,194,171,140
125,99,213,194,186
125,100,153,171,181
125,101,217,87,13
125,102,105,80,60
125,103,72,69,66
125,104,96,103,98
125,105,143,132,102
125,106,57,91,102
125,107,214,103,30
125,108,244,229,162
125,109,119,112,95
125,110,6,14,27
125,111,246,226,201
125,112,133,96,70
125,113,169,161,105
125,114,30,32,37
125,115,222,210,200
125,116,237,139,55
125,117,243,243,240
125,118,71,50,33
125,119,187,100,40
125,120,52,54,56
125,121,40,51,61
125,122,35,29,27
125,123,153,157,116
125,124,84,123,121
