K,ColorID,Red,Green,Blue
200,0,54,59,63
200,1,224,156,79
200,2,12,18,28
200,3,133,97,73
200,4,142,145,145
200,5,190,196,204
200,6,77,97,100
200,7,180,88,32
200,8,27,73,99
200,9,120,76,48
200,10,245,228,159
200,11,33,33,37
200,12,225,134,57
200,13,165,135,85
200,14,3,3,4
200,15,73,62,56
200,16,235,225,214
200,17,248,190,83
200,18,75,114,118
200,19,222,104,27
200,20,12,47,72
200,21,152,82,41
200,22,111,122,126
200,23,48,96,113
200,24,172,147,122
200,25,185,186,187
200,26,158,96,52
200,27,201,118,53
200,28,189,160,107
200,29,122,113,92
200,30,47,47,49
200,31,101,92,79
200,32,221,199,185
200,33,12,33,51
200,34,242,150,60
200,35,98,70,46
200,36,4,8,16
200,37,77,51,31
200,38,243,190,110
200,39,163,144,103
200,40,88,87,81
200,41,249,210,108
200,42,210,143,71
200,43,132,156,169
200,44,20,19,19
200,45,205,214,215
200,46,239,139,54
200,47,139,152,116
200,48,135,79,46
200,49,37,83,107
200,50,23,28,37
200,51,111,119,106
200,52,233,169,85
200,53,111,62,35
200,54,175,96,44
200,55,62,106,118
200,56,180,177,176
200,57,142,112,73
200,58,74,72,68
200,59,252,245,184
200,60,91,78,65
200,61,169,109,65
200,62,50,80,94
200,63,202,182,166
200,64,33,54,70
200,65,246,127,35
200,66,209,109,38
200,67,136,123,93
200,68,27,40,52
200,69,53,45,40
200,70,99,129,145
200,71,251,162,62
200,72,208,177,100
200,73,169,72,20
200,74,92,114,108
200,75,118,141,120
200,76,63,61,59
200,77,236,209,128
200,78,10,26,42
200,79,6,7,9
200,80,144,86,51
200,81,46,35,30
200,82,198,131,71
200,83,12,39,60
200,84,239,95,9
200,85,138,75,39
200,86,163,179,188
200,87,219,88,13
200,88,222,116,40
200,89,126,89,61
200,90,183,170,104
200,91,251,168,91
200,92,152,119,86
200,93,250,204,94
200,94,76,57,42
200,95,219,227,230
200,96,59,66,70
200,97,38,45,52
200,98,86,67,54
200,99,196,172,136
200,100,251,175,61
200,101,243,243,240
200,102,195,145,78
200,103,224,214,206
200,104,62,44,32
200,105,191,109,49
200,106,5,15,29
200,107,23,58,81
200,108,239,204,174
200,109,182,134,78
200,110,228,167,115
200,111,111,102,87
200,112,28,35,44
200,113,212,132,61
200,114,43,42,43
200,115,151,102,63
200,116,20,32,46
200,117,179,137,93
200,118,192,99,37
200,119,169,161,106
200,120,237,187,89
200,121,214,188,174
200,122,12,12,14
200,123,106,80,61
200,124,2,10,23
200,125,81,121,120
200,126,56,102,116
200,127,56,91,102
200,128,253,200,83
200,129,188,78,18
200,130,123,130,108
200,131,217,160,93
200,132,214,121,50
200,133,243,221,197
200,134,187,122,64
200,135,163,121,77
200,136,7,13,24
200,137,42,52,60
200,138,250,140,45
200,139,43,65,78
200,140,29,29,32
200,141,122,147,161
200,142,130,70,37
200,143,227,181,139
200,144,157,129,100
200,145,207,156,83
200,146,32,78,103
200,147,7,19,35
200,148,103,134,122
200,149,138,96,59
200,150,23,68,97
200,151,192,167,95
200,152,149,76,33
200,153,69,101,108
200,154,34,28,24
200,155,116,91,54
200,156,10,42,66
200,157,221,145,74
200,158,82,114,134
200,159,235,110,28
200,160,226,210,150
200,161,152,158,115
200,162,200,82,15
200,163,233,126,44
200,164,226,148,63
200,165,145,135,118
200,166,106,107,100
200,167,143,136,101
200,168,119,95,75
200,169,52,53,55
200,170,145,166,177
200,171,16,52,77
200,172,254,185,66
200,173,62,53,47
200,174,250,152,54
200,175,171,104,53
200,176,179,153,92
200,177,245,177,74
200,178,113,138,148
200,179,164,166,156
200,180,191,155,130
200,181,92,128,121
200,182,72,79,82
200,183,225,169,78
200,184,253,246,203
200,185,1,1,2
200,186,36,39,44
200,187,250,219,129
200,188,223,187,106
200,189,94,99,95
200,190,239,160,67
200,191,192,193,195
200,192,68,111,120
200,193,209,194,188
200,194,21,45,63
200,195,22,24,29
200,196,207,96,26
200,197,162,84,37
200,198,16,26,38
200,199,41,90,111
