K,ColorID,Red,Green,Blue
50,0,174,104,53
50,1,12,43,66
50,2,239,204,154
50,3,59,100,113
50,4,234,171,86
50,5,3,3,5
50,6,206,178,160
50,7,91,70,54
50,8,125,149,162
50,9,191,164,103
50,10,231,117,36
50,11,24,24,28
50,12,26,72,98
50,13,139,99,67
50,14,61,61,61
50,15,126,121,101
50,16,183,137,81
50,17,74,113,121
50,18,239,141,54
50,19,101,96,86
50,20,183,196,201
50,21,249,194,85
50,22,172,80,27
50,23,38,37,39
50,24,6,11,20
50,25,220,218,214
50,26,250,170,64
50,27,103,133,124
50,28,126,71,39
50,29,72,78,79
50,30,43,47,52
50,31,170,177,184
50,32,169,168,168
50,33,200,99,33
50,34,217,150,75
50,35,241,203,113
50,36,23,56,77
50,37,154,149,111
50,38,229,92,11
50,39,152,123,84
50,40,149,83,43
50,41,215,199,188
50,42,42,88,108
50,43,8,17,30
50,44,69,52,40
50,45,94,110,104
50,46,19,32,45
50,47,206,125,57
50,48,250,236,189
50,49,116,86,60
