K,ColorID,Red,Green,Blue
400,108,138,164,173
400,109,186,109,48
400,110,137,101,76
400,111,203,189,155
400,112,3,6,14
400,113,231,136,56
400,114,15,15,16
400,115,227,162,76
400,116,86,59,38
400,117,10,16,27
400,118,206,192,183
400,119,177,160,100
400,120,90,90,88
400,121,62,43,31
400,122,110,77,54
400,123,140,76,39
400,124,145,130,95
400,125,37,50,61
400,126,247,211,165
400,127,135,78,45
400,128,71,64,58
400,129,51,98,114
400,130,121,144,120
400,131,106,117,103
400,132,24,23,25
400,133,250,174,68
400,134,246,219,188
400,135,105,83,64
400,136,221,144,70
400,137,175,92,39
400,138,46,45,46
400,139,239,186,96
400,140,208,129,59
400,141,250,219,128
400,142,195,128,67
400,143,15,52,78
400,144,221,164,126
400,145,228,191,98
400,146,254,247,190
400,147,68,66,66
400,148,4,13,29
400,149,191,147,76
400,150,184,176,170
400,151,251,138,45
400,152,19,36,51
400,153,95,129,121
400,154,241,104,16
400,155,66,103,125
400,156,139,120,80
400,157,39,32,30
400,158,232,229,226
400,159,221,159,83
400,160,81,99,99
400,161,89,67,55
400,162,213,178,160
400,163,198,95,28
400,164,29,40,51
400,165,113,124,106
400,166,98,106,95
400,167,39,85,108
400,168,144,96,60
400,169,27,22,16
400,170,82,123,121
400,171,171,132,113
400,172,173,190,198
400,173,203,121,55
400,174,168,70,18
400,175,237,147,63
400,176,250,155,56
400,177,8,24,41
400,178,100,66,42
400,179,94,125,143
400,180,167,162,106
400,181,157,97,59
400,182,3,4,5
400,183,190,204,209
400,184,74,76,77
400,185,218,194,176
400,186,57,69,75
400,187,58,58,58
400,188,200,141,69
400,189,173,151,113
400,190,165,110,66
400,191,252,217,112
400,192,174,165,139
400,193,11,39,60
400,194,217,149,75
400,195,156,120,79
400,196,53,93,107
400,197,235,131,46
400,198,174,141,68
400,199,154,82,40
400,200,132,119,90
400,201,89,82,71
400,202,84,109,108
400,203,27,73,100
400,204,223,112,35
400,205,237,159,88
400,206,112,111,111
400,207,145,139,101
400,208,160,132,82
400,209,181,101,46
400,210,223,218,211
400,211,51,56,61
400,212,80,82,81
400,213,149,147,109
400,214,98,74,61
400,215,243,120,31
400,216,13,48,73
400,217,223,206,196
400,218,110,91,55
400,219,69,58,50
400,220,188,160,92
400,221,70,47,31
400,222,210,179,118
400,223,122,76,45
400,224,79,69,61
400,225,33,55,69
400,226,214,197,138
400,227,173,172,171
400,228,13,26,39
400,229,149,83,45
400,230,203,107,40
400,231,211,99,25
400,232,191,160,142
400,233,203,142,82
400,234,231,204,123
400,235,175,107,55
400,236,117,103,85
400,237,134,124,97
400,238,240,93,7
400,239,198,169,115
400,240,221,131,56
400,241,246,196,97
400,242,154,158,139
400,243,19,46,68
400,244,224,156,61
400,245,33,45,56
400,246,172,148,90
400,247,245,215,145
400,248,30,29,32
400,249,164,85,37
400,250,102,97,90
400,251,242,129,40
400,252,86,51,32
400,253,35,34,37
400,254,64,109,118
400,255,140,130,114
400,256,225,121,41
400,257,199,148,96
400,258,8,20,36
400,259,89,67,45
400,260,248,181,76
400,261,61,96,106
400,262,130,89,52
400,263,101,133,122
400,264,77,104,111
400,265,183,125,59
400,266,6,14,25
400,267,31,37,44
400,268,9,11,14
400,269,149,144,123
400,270,184,88,28
400,271,69,50,39
400,272,21,15,12
400,273,98,120,110
400,274,195,115,52
400,275,139,153,117
400,276,164,95,47
400,277,251,241,179
400,278,21,28,38
400,279,201,199,192
400,280,219,169,82
400,281,138,107,68
400,282,34,71,90
400,283,241,195,160
400,284,229,174,75
400,285,159,125,94
400,286,5,10,18
400,287,196,174,101
400,288,12,29,46
400,289,66,83,88
400,290,20,56,81
400,291,34,82,106
400,292,76,110,131
400,293,136,93,60
400,294,6,16,32
400,295,205,134,73
400,296,200,82,16
400,297,242,158,63
400,298,25,26,30
400,299,191,143,83
400,300,84,96,89
400,301,184,120,73
400,302,234,200,172
400,303,110,69,46
400,304,149,111,85
400,305,153,103,56
400,306,223,140,61
400,307,23,33,43
400,308,155,72,25
400,309,215,112,41
400,310,170,185,193
400,311,124,110,89
400,312,222,89,12
400,313,52,48,45
400,314,64,58,55
400,315,17,41,59
400,316,140,85,50
400,317,119,141,156
400,318,51,39,33
400,319,2,9,21
400,320,234,220,155
400,321,185,188,185
400,322,120,134,110
400,323,156,159,112
400,324,20,23,32
400,325,224,183,157
400,326,93,88,78
400,327,108,98,83
400,328,232,108,28
400,329,253,189,72
400,330,186,132,74
400,331,9,41,65
400,332,170,135,92
400,333,137,157,166
400,334,113,140,121
400,335,244,172,107
400,336,61,50,44
400,337,243,148,56
400,338,247,205,109
400,339,232,154,65
400,340,214,176,97
400,341,199,153,80
400,342,43,43,44
400,343,206,115,49
400,344,2,4,9
400,345,213,181,168
400,346,132,142,113
400,347,249,145,51
400,348,174,175,177
400,349,209,188,176
400,350,85,113,113
400,351,152,92,52
400,352,231,204,107
400,353,51,52,54
400,354,154,173,183
400,355,89,100,96
400,356,88,75,60
400,357,24,36,48
400,358,44,83,101
400,359,206,168,144
400,360,71,72,72
400,361,242,185,85
400,362,115,87,71
400,363,209,159,91
400,364,242,188,124
400,365,27,60,81
400,366,166,102,56
400,367,52,79,89
400,368,88,126,122
400,369,175,140,122
400,370,12,11,11
400,371,194,147,114
400,372,51,38,24
400,373,11,14,21
400,374,107,60,32
400,375,64,91,98
400,376,252,174,59
400,377,147,131,73
400,378,179,123,87
400,379,247,154,68
400,380,47,64,73
400,381,182,143,92
400,382,39,62,75
400,383,173,140,79
400,384,24,71,98
400,385,39,45,51
400,386,194,173,125
400,387,132,82,54
400,388,227,149,83
400,389,76,63,52
400,390,222,100,21
400,391,237,176,82
400,392,108,129,132
400,393,40,89,111
400,394,76,118,119
400,395,215,208,199
400,396,50,42,39
400,397,204,178,162
400,398,43,54,63
400,399,100,100,100
