K,ColorID,Red,Green,Blue
400,0,171,98,53
400,1,25,43,58
400,2,237,209,129
400,3,75,89,92
400,4,6,12,22
400,5,170,176,185
400,6,215,120,48
400,7,160,143,99
400,8,99,73,50
400,9,23,68,96
400,10,254,184,65
400,11,123,115,98
400,12,231,206,185
400,13,62,61,62
400,14,211,160,78
400,15,85,118,138
400,16,140,69,29
400,17,45,93,112
400,18,230,91,10
400,19,28,31,38
400,20,112,102,73
400,21,238,139,55
400,22,45,48,53
400,23,1,1,2
400,24,199,180,172
400,25,183,195,200
400,26,105,135,150
400,27,70,113,119
400,28,107,137,122
400,29,182,75,17
400,30,184,134,83
400,31,14,23,34
400,32,134,104,57
400,33,11,44,69
400,34,237,163,75
400,35,76,59,43
400,36,24,54,74
400,37,166,163,163
400,38,249,194,85
400,39,92,110,104
400,40,185,170,103
400,41,158,87,42
400,42,114,63,35
400,43,253,249,203
400,44,145,121,87
400,45,191,101,39
400,46,8,7,7
400,47,236,114,31
400,48,186,153,127
400,49,148,157,115
400,50,43,37,34
400,51,80,76,70
400,52,212,138,64
400,53,145,87,52
400,54,251,162,63
400,55,58,104,117
400,56,150,105,68
400,57,44,74,88
400,58,203,212,217
400,59,214,199,190
400,60,228,188,115
400,61,192,117,61
400,62,132,94,72
400,63,31,78,103
400,64,11,19,31
400,65,247,232,165
400,66,110,106,93
400,67,131,71,39
400,68,103,92,78
400,69,57,45,38
400,70,226,174,95
400,71,180,150,93
400,72,87,121,116
400,73,41,40,41
400,74,198,165,94
400,75,169,170,172
400,76,212,86,13
400,77,124,93,64
400,78,121,148,162
400,79,34,28,23
400,80,226,211,148
400,81,69,100,105
400,82,253,202,85
400,83,11,33,53
400,84,18,20,24
400,85,169,124,79
400,86,170,74,25
400,87,240,223,205
400,88,51,87,100
400,89,131,127,111
400,90,37,41,46
400,91,51,61,66
400,92,242,183,140
400,93,251,145,42
400,94,252,208,99
400,95,211,104,33
400,96,59,54,50
400,97,253,169,92
400,98,2,10,24
400,99,153,79,34
400,100,61,77,83
400,101,232,175,87
400,102,213,141,85
400,103,179,114,63
400,104,194,175,137
400,105,121,84,60
400,106,18,30,44
400,107,83,66,52
