K,ColorID,Red,Green,Blue
300,0,166,101,54
300,1,20,40,57
300,2,237,209,129
300,3,72,91,93
300,4,9,13,20
300,5,168,176,185
300,6,215,119,47
300,7,160,143,99
300,8,100,73,49
300,9,23,68,97
300,10,254,186,66
300,11,123,115,98
300,12,233,206,182
300,13,61,61,62
300,14,212,158,80
300,15,85,118,138
300,16,140,69,29
300,17,45,93,112
300,18,226,89,10
300,19,27,31,39
300,20,113,95,75
300,21,238,139,54
300,22,46,49,53
300,23,1,1,2
300,24,200,181,172
300,25,183,195,200
300,26,113,139,154
300,27,71,113,119
300,28,111,139,122
300,29,182,76,18
300,30,185,131,78
300,31,18,23,32
300,32,134,104,57
300,33,10,43,67
300,34,238,162,74
300,35,76,59,44
300,36,25,55,75
300,37,166,163,163
300,38,247,191,84
300,39,92,110,104
300,40,185,170,103
300,41,158,87,42
300,42,112,62,34
300,43,253,249,203
300,44,146,117,86
300,45,193,101,39
300,46,8,7,8
300,47,233,110,29
300,48,186,151,126
300,49,152,158,114
300,50,49,40,37
300,51,79,76,70
300,52,213,136,63
300,53,144,87,51
300,54,251,163,61
300,55,58,104,117
300,56,149,105,67
300,57,42,64,77
300,58,202,212,217
300,59,213,199,191
300,60,231,187,115
300,61,192,118,63
300,62,132,95,73
300,63,31,77,103
300,64,11,19,31
300,65,247,232,165
300,66,111,106,93
300,67,131,71,39
300,68,102,92,79
300,69,56,47,42
300,70,221,175,96
300,71,182,145,95
300,72,88,126,122
300,73,40,40,42
300,74,200,165,94
300,75,170,170,172
300,76,214,87,13
300,77,123,92,65
300,78,122,147,161
300,79,35,28,23
300,80,231,216,152
300,81,68,100,106
300,82,252,202,86
300,83,11,33,53
300,84,18,20,24
300,85,171,125,84
300,86,168,74,25
300,87,240,223,205
300,88,48,85,99
300,89,123,131,112
300,90,39,43,49
300,91,49,60,67
300,92,242,183,137
300,93,251,146,44
300,94,249,207,104
300,95,210,106,36
300,96,59,53,49
300,97,252,169,93
300,98,2,9,23
300,99,153,78,33
300,100,55,77,86
300,101,236,177,85
300,102,216,141,86
300,103,179,117,70
300,104,197,174,142
300,105,120,84,62
300,106,19,31,44
300,107,82,65,52
300,108,137,161,171
300,109,186,110,49
300,110,138,103,77
300,111,207,181,163
300,112,3,6,14
300,113,230,136,56
300,114,14,15,16
300,115,225,163,76
300,116,86,59,38
