K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
200,0,54,59,63,,3799,Pewter Gray Very Dark,#424242,66,66,66,14.212670403551895
200,1,224,156,79,,977,Golden Brown Light,#DC9C56,220,156,86,8.06225774829855
200,2,12,18,28,,3371,Black Brown,#1E1108,30,17,8,26.92582403567252
200,3,133,97,73,,610,Drab Brown Dark,#796047,121,96,71,12.206555615733702
200,4,142,145,145,,414,Steel Gray Dark,#8C8C8C,140,140,140,7.3484692283495345
200,5,190,196,204,,927,Gray Green Light,#BDCBCB,189,203,203,7.14142842854285
200,6,77,97,100,,924,Gray Green Vy Dark,#566A6A,86,106,106,14.071247279470288
200,7,180,88,32,,301,Mahogany Medium,#B35F2B,179,95,43,13.076696830622021
200,8,27,73,99,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,7.681145747868608
200,9,120,76,48,,433,Brown Medium,#7A451F,122,69,31,18.49324200890693
200,10,245,228,159,,3822,Straw Light,#F6DC98,246,220,152,10.677078252031311
200,11,33,33,37,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,31.20897306865447
200,12,225,134,57,,3776,Mahogany Light,#CF7939,207,121,57,22.20360331117452
200,13,165,135,85,,3863,Mocha Beige Medium,#A4835C,164,131,92,8.12403840463596
200,14,3,3,4,,310,Black,#000000,0,0,0,5.830951894845301
200,15,73,62,56,,3799,Pewter Gray Very Dark,#424242,66,66,66,12.84523257866513
200,16,235,225,214,,822,Beige Gray Light,#E7E2D3,231,226,211,5.0990195135927845
200,17,248,190,83,,742,Tangerine Light,#FFBF57,255,191,87,8.12403840463596
200,18,75,114,118,,991,Aquamarine Dark,#477B6E,71,123,110,12.68857754044952
200,19,222,104,27,,922,Copper Light,#E27323,226,115,35,14.177446878757825
200,20,12,47,72,,939,Navy Blue Very Dark,#1B2853,27,40,83,19.87460691435179
200,21,152,82,41,,434,Brown Light,#985E33,152,94,51,15.620499351813308
200,22,111,122,126,,3768,Gray Green Dark,#657F7F,101,127,127,11.224972160321824
200,23,48,96,113,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,10.862780491200215
200,24,172,147,122,,642,Beige Gray Dark,#A49878,164,152,120,9.643650760992955
200,25,185,186,187,,03,Tin Medium,#B8B8BB,184,184,187,2.23606797749979
200,26,158,96,52,,434,Brown Light,#985E33,152,94,51,6.4031242374328485
200,27,201,118,53,,3776,Mahogany Light,#CF7939,207,121,57,7.810249675906654
200,28,189,160,107,,371,Mustard,#BFA671,191,166,113,8.717797887081348
200,29,122,113,92,,3790,Beige Gray Ultra Dark,#7F6A55,127,106,85,11.090536506409418
200,30,47,47,49,,934,Avocado Grn Black,#313919,49,57,25,26.076809620810597
200,31,101,92,79,,3787,Brown Gray Dark,#625D50,98,93,80,3.3166247903554
200,32,221,199,185,,06,Driftwood Medium Light,#DCC6B8,220,198,184,1.7320508075688772
200,33,12,33,51,,939,Navy Blue Very Dark,#1B2853,27,40,83,36.02776706930364
200,34,242,150,60,,3853,Autumn Gold Dark,#F29746,242,151,70,10.04987562112089
200,35,98,70,46,,838,Beige Brown Very Dark,#594937,89,73,55,13.076696830622021
200,36,4,8,16,,310,Black,#000000,0,0,0,18.33030277982336
200,37,77,51,31,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,14.352700094407323
200,38,243,190,110,,3827,Golden Brown Pale,#F7BB77,247,187,119,10.295630140987
200,39,163,144,103,,3863,Mocha Beige Medium,#A4835C,164,131,92,17.05872210923198
200,40,88,87,81,,413,Pewter Gray Dark,#565656,86,86,86,5.477225575051661
200,41,249,210,108,,743,Yellow Medium,#FED376,254,211,118,11.224972160321824
200,42,210,143,71,,436,Tan,#CB9051,203,144,81,12.24744871391589
200,43,132,156,169,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,16.76305461424021
200,44,20,19,19,,3371,Black Brown,#1E1108,30,17,8,15.0
200,45,205,214,215,,415,Pearl Gray,#D3D3D6,211,211,214,6.782329983125268
200,46,239,139,54,,3853,Autumn Gold Dark,#F29746,242,151,70,20.223748416156685
200,47,139,152,116,,3022,Brown Gray Medium,#8E9078,142,144,120,9.433981132056603
200,48,135,79,46,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,12.529964086141668
200,49,37,83,107,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,10.723805294763608
200,50,23,28,37,,3371,Black Brown,#1E1108,30,17,8,31.796226191169293
200,51,111,119,106,,317,Pewter Gray,#6C6C6C,108,108,108,11.575836902790225
200,52,233,169,85,,977,Golden Brown Light,#DC9C56,220,156,86,18.411952639521967
200,53,111,62,35,,433,Brown Medium,#7A451F,122,69,31,13.638181696985855
200,54,175,96,44,,301,Mahogany Medium,#B35F2B,179,95,43,4.242640687119285
200,55,62,106,118,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,10.04987562112089
200,56,180,177,176,,04,Tin Dark,#AEAEB1,174,174,177,6.782329983125268
200,57,142,112,73,,3862,Mocha Beige Dark,#8A6E4E,138,110,78,6.708203932499369
200,58,74,72,68,,844,Beaver Gray Ultra Dark,#484848,72,72,72,4.47213595499958
200,59,252,245,184,,727,Topaz Very Light,#FFF1AF,255,241,175,10.295630140987
200,60,91,78,65,,779,Cocoa Dark,#624B45,98,75,69,8.602325267042627
200,61,169,109,65,,420,Hazelnut Brown Dark,#A07042,160,112,66,9.539392014169456
200,62,50,80,94,,3750,Antique Blue Very Dark,#384C5E,56,76,94,7.211102550927978
200,63,202,182,166,,842,Beige Brown Very Light,#D1BAA1,209,186,161,9.486832980505138
200,64,33,54,70,,939,Navy Blue Very Dark,#1B2853,27,40,83,20.024984394500787
200,65,246,127,35,,970,Pumpkin Light,#F78B13,247,139,19,20.024984394500787
200,66,209,109,38,,922,Copper Light,#E27323,226,115,35,18.275666882497067
200,67,136,123,93,,640,Beige Gray Very Dark,#857B61,133,123,97,5.0
200,68,27,40,52,,939,Navy Blue Very Dark,#1B2853,27,40,83,31.0
200,69,53,45,40,,934,Avocado Grn Black,#313919,49,57,25,19.621416870348583
200,70,99,129,145,,931,Antique Blue Medium,#6A859E,106,133,158,15.297058540778355
200,71,251,162,62,,3853,Autumn Gold Dark,#F29746,242,151,70,16.30950643030009
200,72,208,177,100,,833,Golden Olive Light,#C8AB6C,200,171,108,12.806248474865697
200,73,169,72,20,,919,Red Copper,#A64510,166,69,16,5.830951894845301
200,74,92,114,108,,924,Gray Green Vy Dark,#566A6A,86,106,106,10.198039027185569
200,75,118,141,120,,169,Pewter Light,#848484,132,132,132,20.518284528683193
200,76,63,61,59,,3799,Pewter Gray Very Dark,#424242,66,66,66,9.1104335791443
200,77,236,209,128,,3821,Straw,#F3CE75,243,206,117,13.379088160259652
200,78,10,26,42,,3371,Black Brown,#1E1108,30,17,8,40.45985664828782
200,79,6,7,9,,310,Black,#000000,0,0,0,12.884098726725126
200,80,144,86,51,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,10.862780491200215
200,81,46,35,30,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,18.33030277982336
200,82,198,131,71,,976,Golden Brown Medium,#C28142,194,129,66,6.708203932499369
200,83,12,39,60,,939,Navy Blue Very Dark,#1B2853,27,40,83,27.477263328068172
200,84,239,95,9,,946,Burnt Orange Medium,#EB6307,235,99,7,6.0
200,85,138,75,39,,433,Brown Medium,#7A451F,122,69,31,18.867962264113206
200,86,163,179,188,,932,Antique Blue Light,#A2B5C6,162,181,198,10.246950765959598
200,87,219,88,13,,900,Burnt Orange Dark,#D15807,209,88,7,11.661903789690601
200,88,222,116,40,,922,Copper Light,#E27323,226,115,35,6.48074069840786
200,89,126,89,61,,869,Hazelnut Brown Very Dark,#835E39,131,94,57,8.12403840463596
200,90,183,170,104,,371,Mustard,#BFA671,191,166,113,12.68857754044952
200,91,251,168,91,,3854,Autumn Gold Medium,#F2AF68,242,175,104,17.291616465790582
200,92,152,119,86,,611,Drab Brown,#967656,150,118,86,2.23606797749979
200,93,250,204,94,,19,Autumn Gold medium Light,#F7C95F,247,201,95,4.358898943540674
200,94,76,57,42,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,3.1622776601683795
200,95,219,227,230,,3753,Antique Blue Ultra Very Light,#DBE2E9,219,226,233,3.1622776601683795
200,96,59,66,70,,3799,Pewter Gray Very Dark,#424242,66,66,66,8.06225774829855
200,97,38,45,52,,934,Avocado Grn Black,#313919,49,57,25,31.52776554086889
200,98,86,67,54,,838,Beige Brown Very Dark,#594937,89,73,55,6.782329983125268
200,99,196,172,136,,372,Mustard Light,#CCB784,204,183,132,14.177446878757825
200,100,251,175,61,,741,Tangerine Medium,#FFA32B,255,163,43,22.0
200,101,243,243,240,,3865,Winter White,#F9F7F1,249,247,241,7.280109889280518
200,102,195,145,78,,436,Tan,#CB9051,203,144,81,8.602325267042627
200,103,224,214,206,,3033,Mocha Brown Very Light,#E3D8CC,227,216,204,4.123105625617661
200,104,62,44,32,,898,Coffee Brown Very Dark,#492A13,73,42,19,17.146428199482248
200,105,191,109,49,,301,Mahogany Medium,#B35F2B,179,95,43,19.390719429665317
200,106,5,15,29,,3371,Black Brown,#1E1108,30,17,8,32.71085446759225
200,107,23,58,81,,820,Royal Blue Very Dark,#0E365C,14,54,92,14.7648230602334
200,108,239,204,174,,738,Tan Very Light,#ECCC9E,236,204,158,16.278820596099706
200,109,182,134,78,,435,Brown Very Light,#B87748,184,119,72,16.278820596099706
200,110,228,167,115,,728,Topaz,#E4B468,228,180,104,17.029386365926403
200,111,111,102,87,,645,Beaver Gray Very Dark,#6E655C,110,101,92,5.196152422706632
200,112,28,35,44,,934,Avocado Grn Black,#313919,49,57,25,35.86084215408221
200,113,212,132,61,,3776,Mahogany Light,#CF7939,207,121,57,12.727922061357855
200,114,43,42,43,,934,Avocado Grn Black,#313919,49,57,25,24.186773244895647
200,115,151,102,63,,420,Hazelnut Brown Dark,#A07042,160,112,66,13.784048752090222
200,116,20,32,46,,939,Navy Blue Very Dark,#1B2853,27,40,83,38.49675310984031
200,117,179,137,93,,3828,Hazelnut Brown,#B78B61,183,139,97,6.0
200,118,192,99,37,,921,Copper,#C66218,198,98,24,14.352700094407323
200,119,169,161,106,,3012,Khaki Green Medium,#A6A75D,166,167,93,14.628738838327793
200,120,237,187,89,,3820,Straw Dark,#DFB65F,223,182,95,16.0312195418814
200,121,214,188,174,,3782,Mocha Brown Light,#D2BCA6,210,188,166,8.94427190999916
200,122,12,12,14,,3371,Black Brown,#1E1108,30,17,8,19.621416870348583
200,123,106,80,61,,839,Beige Brown Dark,#675541,103,85,65,7.0710678118654755
200,124,2,10,23,,310,Black,#000000,0,0,0,25.15949125081825
200,125,81,121,120,,991,Aquamarine Dark,#477B6E,71,123,110,14.2828568570857
200,126,56,102,116,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,5.385164807134504
200,127,56,91,102,,3750,Antique Blue Very Dark,#384C5E,56,76,94,17.0
200,128,253,200,83,,742,Tangerine Light,#FFBF57,255,191,87,10.04987562112089
200,129,188,78,18,,920,Copper Medium,#AC5414,172,84,20,17.204650534085253
200,130,123,130,108,,646,Beaver Gray Dark,#877D73,135,125,115,14.7648230602334
200,131,217,160,93,,977,Golden Brown Light,#DC9C56,220,156,86,8.602325267042627
200,132,214,121,50,,3776,Mahogany Light,#CF7939,207,121,57,9.899494936611665
200,133,243,221,197,,739,Tan Ultra Very Light,#F8E4C8,248,228,200,9.1104335791443
200,134,187,122,64,,435,Brown Very Light,#B87748,184,119,72,9.055385138137417
200,135,163,121,77,,167,Yellow Beige Very Dark,#A77C49,167,124,73,6.4031242374328485
200,136,7,13,24,,310,Black,#000000,0,0,0,28.178005607210743
200,137,42,52,60,,3799,Pewter Gray Very Dark,#424242,66,66,66,28.42534080710379
200,138,250,140,45,,741,Tangerine Medium,#FFA32B,255,163,43,23.62202362203543
200,139,43,65,78,,3750,Antique Blue Very Dark,#384C5E,56,76,94,23.366642891095847
200,140,29,29,32,,3371,Black Brown,#1E1108,30,17,8,26.851443164195103
200,141,122,147,161,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,11.224972160321824
200,142,130,70,37,,433,Brown Medium,#7A451F,122,69,31,10.04987562112089
