K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
75,0,56,60,64,,3799,Pewter Gray Very Dark,#424242,66,66,66,11.832159566199232
75,1,230,166,81,,977,Golden Brown Light,#DC9C56,220,156,86,15.0
75,2,8,17,30,,3371,Black Brown,#1E1108,30,17,8,31.11269837220809
75,3,156,174,183,,926,Gray Green Medium,#98AEAE,152,174,174,9.848857801796104
75,4,126,96,74,,610,Drab Brown Dark,#796047,121,96,71,5.830951894845301
75,5,104,133,147,,931,Antique Blue Medium,#6A859E,106,133,158,11.180339887498949
75,6,144,89,54,,434,Brown Light,#985E33,152,94,51,9.899494936611665
75,7,25,70,98,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,11.180339887498949
75,8,227,215,205,,3033,Mocha Brown Very Light,#E3D8CC,227,216,204,1.4142135623730951
75,9,187,121,63,,435,Brown Very Light,#B87748,184,119,72,9.695359714832659
75,10,166,151,107,,642,Beige Gray Dark,#A49878,164,152,120,13.19090595827292
75,11,229,114,34,,922,Copper Light,#E27323,226,115,35,3.3166247903554
75,12,20,36,50,,939,Navy Blue Very Dark,#1B2853,27,40,83,33.97057550292606
75,13,54,83,94,,3750,Antique Blue Very Dark,#384C5E,56,76,94,7.280109889280518
75,14,252,181,66,,725,Topaz Medium Light,#FFC840,255,200,64,19.339079605813716
75,15,7,9,12,,310,Black,#000000,0,0,0,16.55294535724685
75,16,94,89,81,,3787,Brown Gray Dark,#625D50,98,93,80,5.744562646538029
75,17,78,116,120,,991,Aquamarine Dark,#477B6E,71,123,110,14.071247279470288
75,18,246,138,46,,741,Tangerine Medium,#FFA32B,255,163,43,26.739483914241877
75,19,240,217,142,,3822,Straw Light,#F6DC98,246,220,152,12.041594578792296
75,20,44,47,51,,934,Avocado Grn Black,#313919,49,57,25,28.30194339616981
75,21,173,74,20,,919,Red Copper,#A64510,166,69,16,9.486832980505138
75,22,189,167,100,,370,Mustard Medium,#B89D64,184,157,100,11.180339887498949
75,23,96,130,122,,3768,Gray Green Dark,#657F7F,101,127,127,7.681145747868608
75,24,61,105,117,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,8.602325267042627
75,25,93,72,54,,838,Beige Brown Very Dark,#594937,89,73,55,4.242640687119285
75,26,12,43,67,,939,Navy Blue Very Dark,#1B2853,27,40,83,22.135943621178654
75,27,233,205,181,,05,Driftwood Light,#E3CCBE,227,204,190,10.862780491200215
75,28,131,151,161,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,15.652475842498529
75,29,229,140,60,,3853,Autumn Gold Dark,#F29746,242,151,70,19.748417658131498
75,30,166,105,59,,420,Hazelnut Brown Dark,#A07042,160,112,66,11.575836902790225
75,31,25,27,33,,3371,Black Brown,#1E1108,30,17,8,27.386127875258307
75,32,74,60,50,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,8.06225774829855
75,33,101,110,102,,317,Pewter Gray,#6C6C6C,108,108,108,9.433981132056603
75,34,185,186,187,,03,Tin Medium,#B8B8BB,184,184,187,2.23606797749979
75,35,206,214,216,,415,Pearl Gray,#D3D3D6,211,211,214,6.164414002968976
75,36,62,48,39,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,17.944358444926362
75,37,203,114,48,,3776,Mahogany Light,#CF7939,207,121,57,12.083045973594572
75,38,227,179,113,,728,Topaz,#E4B468,228,180,104,9.1104335791443
75,39,251,240,193,,677,Old Gold Very Light,#F5ECCB,245,236,203,12.328828005937952
75,40,23,55,77,,939,Navy Blue Very Dark,#1B2853,27,40,83,16.64331697709324
75,41,116,138,119,,3768,Gray Green Dark,#657F7F,101,127,127,20.248456731316587
75,42,143,109,72,,3862,Mocha Beige Dark,#8A6E4E,138,110,78,7.874007874011811
75,43,248,206,102,,19,Autumn Gold medium Light,#F7C95F,247,201,95,8.660254037844387
75,44,191,196,201,,927,Gray Green Light,#BDCBCB,189,203,203,7.54983443527075
75,45,155,83,39,,434,Brown Light,#985E33,152,94,51,16.55294535724685
75,46,20,20,21,,3371,Black Brown,#1E1108,30,17,8,16.673332000533065
75,47,4,11,23,,310,Black,#000000,0,0,0,25.80697580112788
75,48,35,81,105,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,7.681145747868608
75,49,212,190,177,,3782,Mocha Brown Light,#D2BCA6,210,188,166,11.357816691600547
75,50,45,92,111,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,13.379088160259652
75,51,180,176,175,,04,Tin Dark,#AEAEB1,174,174,177,6.6332495807108
75,52,128,119,96,,640,Beige Gray Very Dark,#857B61,133,123,97,6.48074069840786
75,53,135,75,41,,433,Brown Medium,#7A451F,122,69,31,17.46424919657298
75,54,212,132,61,,3776,Mahogany Light,#CF7939,207,121,57,12.727922061357855
75,55,193,136,75,,976,Golden Brown Medium,#C28142,194,129,66,11.445523142259598
75,56,231,234,234,,3072,Beaver Gray Very Light,#E6E8E8,230,232,232,3.0
75,57,238,94,9,,946,Burnt Orange Medium,#EB6307,235,99,7,6.164414002968976
75,58,176,140,89,,831,Golden Olive Medium,#AA8F56,170,143,86,7.3484692283495345
75,59,44,36,31,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,20.346989949375804
75,60,192,165,133,,422,Hazelnut Brown Light,#C69F7B,198,159,123,13.114877048604
75,61,117,85,58,,3781,Mocha Brown Dark,#6B5743,107,87,67,13.601470508735444
75,62,112,64,36,,433,Brown Medium,#7A451F,122,69,31,12.24744871391589
75,63,34,37,42,,934,Avocado Grn Black,#313919,49,57,25,30.23243291566195
75,64,73,72,70,,844,Beaver Gray Ultra Dark,#484848,72,72,72,2.23606797749979
75,65,72,98,103,,930,Antique Blue Dark,#455C71,69,92,113,12.041594578792296
75,66,156,126,87,,840,Beige Brown Medium,#9A7C5C,154,124,92,5.744562646538029
75,67,248,159,61,,3853,Autumn Gold Dark,#F29746,242,151,70,13.45362404707371
75,68,145,150,115,,3022,Brown Gray Medium,#8E9078,142,144,120,8.366600265340756
75,69,211,152,80,,436,Tan,#CB9051,203,144,81,11.357816691600547
75,70,207,89,19,,900,Burnt Orange Dark,#D15807,209,88,7,12.206555615733702
75,71,248,189,85,,742,Tangerine Light,#FFBF57,255,191,87,7.54983443527075
75,72,182,97,40,,301,Mahogany Medium,#B35F2B,179,95,43,4.69041575982343
75,73,2,2,3,,310,Black,#000000,0,0,0,4.123105625617661
75,74,13,26,41,,3371,Black Brown,#1E1108,30,17,8,38.19685850956856
