K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
125,0,61,61,62,,3799,Pewter Gray Very Dark,#424242,66,66,66,8.12403840463596
125,1,228,167,81,,977,Golden Brown Light,#DC9C56,220,156,86,14.491376746189438
125,2,10,18,31,,3371,Black Brown,#1E1108,30,17,8,30.495901363953813
125,3,173,186,193,,03,Tin Medium,#B8B8BB,184,184,187,12.68857754044952
125,4,119,96,75,,610,Drab Brown Dark,#796047,121,96,71,4.47213595499958
125,5,87,119,137,,3838,Lavender Blue Dark,#5C7294,92,114,148,13.076696830622021
125,6,142,84,49,,632,Desert Sand Ultra Very Dark,#875539,135,85,57,10.677078252031311
125,7,24,70,97,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,11.874342087037917
125,8,228,218,209,,3033,Mocha Brown Very Light,#E3D8CC,227,216,204,5.477225575051661
125,9,186,122,64,,435,Brown Very Light,#B87748,184,119,72,8.774964387392123
125,10,164,141,104,,3863,Mocha Beige Medium,#A4835C,164,131,92,15.620499351813308
125,11,233,110,28,,922,Copper Light,#E27323,226,115,35,11.090536506409418
125,12,17,34,50,,939,Navy Blue Very Dark,#1B2853,27,40,83,35.0
125,13,50,80,94,,3750,Antique Blue Very Dark,#384C5E,56,76,94,7.211102550927978
125,14,253,182,65,,725,Topaz Medium Light,#FFC840,255,200,64,18.138357147217054
125,15,5,6,10,,310,Black,#000000,0,0,0,12.68857754044952
125,16,88,80,70,,309,Rose Dark,#BA4A4A,86,74,74,7.483314773547883
125,17,92,114,108,,924,Gray Green Vy Dark,#566A6A,86,106,106,10.198039027185569
125,18,249,146,52,,3853,Autumn Gold Dark,#F29746,242,151,70,19.949937343260004
125,19,239,213,135,,3855,Autumn Gold Light,#FAD396,250,211,150,18.708286933869708
125,20,43,45,47,,934,Avocado Grn Black,#313919,49,57,25,25.768197453450252
125,21,192,81,19,,921,Copper,#C66218,198,98,24,18.708286933869708
125,22,204,176,100,,833,Golden Olive Light,#C8AB6C,200,171,108,10.246950765959598
125,23,100,132,122,,3768,Gray Green Dark,#657F7F,101,127,127,7.14142842854285
125,24,59,104,117,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,7.14142842854285
125,25,105,70,45,,838,Beige Brown Very Dark,#594937,89,73,55,19.1049731745428
125,26,11,41,65,,939,Navy Blue Very Dark,#1B2853,27,40,83,24.1039415863879
125,27,237,205,177,,05,Driftwood Light,#E3CCBE,227,204,190,16.431676725154983
125,28,131,153,164,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,15.297058540778355
125,29,224,133,57,,3776,Mahogany Light,#CF7939,207,121,57,20.808652046684813
125,30,169,107,60,,3826,Golden Brown,#AD7239,173,114,57,8.602325267042627
125,31,20,29,40,,3371,Black Brown,#1E1108,30,17,8,35.608987629529715
125,32,70,60,53,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,12.083045973594572
125,33,109,101,87,,645,Beaver Gray Very Dark,#6E655C,110,101,92,5.0990195135927845
125,34,187,186,186,,03,Tin Medium,#B8B8BB,184,184,187,3.7416573867739413
125,35,205,214,215,,415,Pearl Gray,#D3D3D6,211,211,214,6.782329983125268
125,36,55,40,30,,938,Coffee Brown Ultra Dark,#361F0E,54,31,14,18.384776310850235
125,37,198,114,50,,3776,Mahogany Light,#CF7939,207,121,57,13.379088160259652
125,38,228,184,98,,3820,Straw Dark,#DFB65F,223,182,95,6.164414002968976
125,39,253,247,193,,3078,Golden Yellow Very Light,#FDF9CD,253,249,205,12.165525060596439
125,40,23,57,79,,820,Royal Blue Very Dark,#0E365C,14,54,92,16.09347693943108
125,41,118,140,119,,169,Pewter Light,#848484,132,132,132,20.71231517720798
125,42,145,111,72,,3862,Mocha Beige Dark,#8A6E4E,138,110,78,9.273618495495704
125,43,248,207,106,,3821,Straw,#F3CE75,243,206,117,12.12435565298214
125,44,191,196,201,,927,Gray Green Light,#BDCBCB,189,203,203,7.54983443527075
125,45,154,81,38,,434,Brown Light,#985E33,152,94,51,18.49324200890693
125,46,19,19,19,,3371,Black Brown,#1E1108,30,17,8,15.684387141358123
125,47,3,10,22,,310,Black,#000000,0,0,0,24.351591323771842
125,48,32,78,103,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,4.58257569495584
125,49,212,187,172,,3782,Mocha Brown Light,#D2BCA6,210,188,166,6.4031242374328485
125,50,48,95,113,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,11.704699910719626
125,51,180,177,176,,04,Tin Dark,#AEAEB1,174,174,177,6.782329983125268
125,52,134,119,90,,640,Beige Gray Very Dark,#857B61,133,123,97,8.12403840463596
125,53,134,74,40,,433,Brown Medium,#7A451F,122,69,31,15.811388300841896
