K,ColorID,Red,Green,Blue,Unmapped,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
200,0,169,100,51,False,,301,Mahogany Medium,#B35F2B,179,95,43,13.74772708486752
200,1,24,42,58,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,25.25866188063018
200,2,233,206,122,False,,3821,Straw,#F3CE75,243,206,117,11.180339887498949
200,3,74,88,89,False,,413,Pewter Gray Dark,#565656,86,86,86,12.529964086141668
200,4,7,13,23,True,,310,Black,#000000,0,0,0,27.331300737432898
200,5,169,175,184,False,,04,Tin Dark,#AEAEB1,174,174,177,8.660254037844387
200,6,219,118,43,False,,922,Copper Light,#E27323,226,115,35,11.045361017187261
200,7,160,142,99,False,,3863,Mocha Beige Medium,#A4835C,164,131,92,13.638181696985855
200,8,97,74,59,False,,838,Beige Brown Very Dark,#594937,89,73,55,9.0
200,9,24,70,97,False,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,11.874342087037917
200,10,253,186,66,False,,725,Topaz Medium Light,#FFC840,255,200,64,14.2828568570857
200,11,128,118,96,False,,640,Beige Gray Very Dark,#857B61,133,123,97,7.14142842854285
200,12,233,206,182,False,,05,Driftwood Light,#E3CCBE,227,204,190,10.198039027185569
200,13,60,60,61,False,,3799,Pewter Gray Very Dark,#424242,66,66,66,9.848857801796104
200,14,215,163,82,False,,977,Golden Brown Light,#DC9C56,220,156,86,9.486832980505138
200,15,80,114,134,False,,798,Delft Blue Dark,#466A8E,70,106,142,15.0996688705415
200,16,139,69,30,False,,400,Mahogany Dark,#8F430F,143,67,15,15.652475842498529
200,17,43,92,111,False,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,13.379088160259652
200,18,235,93,10,False,,946,Burnt Orange Medium,#EB6307,235,99,7,6.708203932499369
200,19,27,30,37,True,,3371,Black Brown,#1E1108,30,17,8,31.921779399024736
200,20,112,98,80,False,,645,Beaver Gray Very Dark,#6E655C,110,101,92,12.529964086141668
200,21,237,138,54,True,,3853,Autumn Gold Dark,#F29746,242,151,70,21.213203435596427
200,22,46,49,53,True,,934,Avocado Grn Black,#313919,49,57,25,29.274562336608895
200,23,2,2,2,False,,310,Black,#000000,0,0,0,3.4641016151377544
200,24,202,180,170,False,,452,Shell Gray Medium,#C0B3AE,192,179,174,10.816653826391969
200,25,183,195,200,False,,927,Gray Green Light,#BDCBCB,189,203,203,10.44030650891055
200,26,113,139,154,False,,931,Antique Blue Medium,#6A859E,106,133,158,10.04987562112089
