K,ColorID,Red,Green,Blue,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
400,0,171,98,53,,301,Mahogany Medium,#B35F2B,179,95,43,13.152946437965905
400,1,25,43,58,,939,Navy Blue Very Dark,#1B2853,27,40,83,25.25866188063018
400,2,237,209,129,,3821,Straw,#F3CE75,243,206,117,13.74772708486752
400,3,75,89,92,,413,Pewter Gray Dark,#565656,86,86,86,12.884098726725126
400,4,6,12,22,,310,Black,#000000,0,0,0,25.768197453450252
400,5,170,176,185,,04,Tin Dark,#AEAEB1,174,174,177,9.16515138991168
400,6,215,120,48,,3776,Mahogany Light,#CF7939,207,121,57,12.083045973594572
400,7,160,143,99,,3863,Mocha Beige Medium,#A4835C,164,131,92,14.45683229480096
400,8,99,73,50,,838,Beige Brown Very Dark,#594937,89,73,55,11.180339887498949
400,9,23,68,96,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,14.317821063276353
400,10,254,184,65,,725,Topaz Medium Light,#FFC840,255,200,64,16.06237840420901
400,11,123,115,98,,640,Beige Gray Very Dark,#857B61,133,123,97,12.84523257866513
400,12,231,206,185,,05,Driftwood Light,#E3CCBE,227,204,190,6.708203932499369
400,13,62,61,62,,3799,Pewter Gray Very Dark,#424242,66,66,66,7.54983443527075
400,14,211,160,78,,977,Golden Brown Light,#DC9C56,220,156,86,12.68857754044952
400,15,85,118,138,,3838,Lavender Blue Dark,#5C7294,92,114,148,12.84523257866513
400,16,140,69,29,,400,Mahogany Dark,#8F430F,143,67,15,14.45683229480096
400,17,45,93,112,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,12.68857754044952
400,18,230,91,10,,946,Burnt Orange Medium,#EB6307,235,99,7,9.899494936611665
400,19,28,31,38,,3371,Black Brown,#1E1108,30,17,8,33.166247903554
400,20,112,102,73,,610,Drab Brown Dark,#796047,121,96,71,11.0
400,21,238,139,55,,3853,Autumn Gold Dark,#F29746,242,151,70,19.621416870348583
400,22,45,48,53,,934,Avocado Grn Black,#313919,49,57,25,29.68164415931166
400,23,1,1,2,,310,Black,#000000,0,0,0,2.449489742783178
400,24,199,180,172,,452,Shell Gray Medium,#C0B3AE,192,179,174,7.3484692283495345
400,25,183,195,200,,927,Gray Green Light,#BDCBCB,189,203,203,10.44030650891055
400,26,105,135,150,,931,Antique Blue Medium,#6A859E,106,133,158,8.306623862918075
400,27,70,113,119,,991,Aquamarine Dark,#477B6E,71,123,110,13.490737563232042
400,28,107,137,122,,3768,Gray Green Dark,#657F7F,101,127,127,12.68857754044952
400,29,182,75,17,,920,Copper Medium,#AC5414,172,84,20,13.784048752090222
400,30,184,134,83,,3828,Hazelnut Brown,#B78B61,183,139,97,14.89966442575134
400,31,14,23,34,,3371,Black Brown,#1E1108,30,17,8,31.11269837220809
400,32,134,104,57,,869,Hazelnut Brown Very Dark,#835E39,131,94,57,10.44030650891055
400,33,11,44,69,,939,Navy Blue Very Dark,#1B2853,27,40,83,21.633307652783937
400,34,237,163,75,,3853,Autumn Gold Dark,#F29746,242,151,70,13.92838827718412
400,35,76,59,43,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,1.7320508075688772
400,36,24,54,74,,939,Navy Blue Very Dark,#1B2853,27,40,83,16.911534525287763
400,37,166,163,163,,318,Steel Gray Light,#ABABAB,171,171,171,12.36931687685298
400,38,249,194,85,,742,Tangerine Light,#FFBF57,255,191,87,7.0
400,39,92,110,104,,924,Gray Green Vy Dark,#566A6A,86,106,106,7.483314773547883
400,40,185,170,103,,371,Mustard,#BFA671,191,166,113,12.328828005937952
400,41,158,87,42,,434,Brown Light,#985E33,152,94,51,12.884098726725126
400,42,114,63,34,,433,Brown Medium,#7A451F,122,69,31,10.44030650891055
400,43,253,249,203,,3078,Golden Yellow Very Light,#FDF9CD,253,249,205,2.0
400,44,145,121,87,,611,Drab Brown,#967656,150,118,86,5.916079783099616
400,45,191,101,39,,301,Mahogany Medium,#B35F2B,179,95,43,14.0
400,46,8,7,7,,310,Black,#000000,0,0,0,12.727922061357855
400,47,236,114,31,,922,Copper Light,#E27323,226,115,35,10.816653826391969
400,48,186,153,127,,841,Beige Brown Light,#B69B7E,182,155,126,4.58257569495584
400,49,148,157,115,,522,Fern Green,#969E7E,150,158,126,11.224972160321824
400,50,43,37,34,,934,Avocado Grn Black,#313919,49,57,25,22.737634001804146
400,51,80,76,70,,3021,Brown Gray Very Dark,#4F4B41,79,75,65,5.196152422706632
400,52,212,138,64,,3776,Mahogany Light,#CF7939,207,121,57,19.05255888325765
400,53,145,87,52,,434,Brown Light,#985E33,152,94,51,9.9498743710662
400,54,251,162,63,,3853,Autumn Gold Dark,#F29746,242,151,70,15.84297951775486
400,55,58,104,117,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,6.48074069840786
400,56,150,105,68,,420,Hazelnut Brown Dark,#A07042,160,112,66,12.36931687685298
400,57,44,74,88,,3750,Antique Blue Very Dark,#384C5E,56,76,94,13.564659966250536
400,58,203,212,217,,3752,Antique Blue Very Light,#C7D1DB,199,209,219,5.385164807134504
400,59,214,199,190,,06,Driftwood Medium Light,#DCC6B8,220,198,184,8.54400374531753
400,60,228,188,115,,728,Topaz,#E4B468,228,180,104,13.601470508735444
400,61,192,117,61,,976,Golden Brown Medium,#C28142,194,129,66,13.152946437965905
400,62,132,94,72,,610,Drab Brown Dark,#796047,121,96,71,11.224972160321824
400,63,31,78,103,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,3.7416573867739413
