K,ColorID,Red,Green,Blue,Unmapped,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
100,70,197,147,81,False,,436,Tan,#CB9051,203,144,81,6.708203932499369
100,71,219,154,79,False,,977,Golden Brown Light,#DC9C56,220,156,86,7.3484692283495345
100,72,202,210,213,False,,3752,Antique Blue Very Light,#C7D1DB,199,209,219,6.782329983125268
100,73,53,89,101,False,,3750,Antique Blue Very Dark,#384C5E,56,76,94,15.066519173319364
100,74,184,103,45,False,,301,Mahogany Medium,#B35F2B,179,95,43,9.643650760992955
100,75,217,90,15,False,,900,Burnt Orange Dark,#D15807,209,88,7,11.489125293076057
100,76,27,25,25,False,,3371,Black Brown,#1E1108,30,17,8,19.026297590440446
100,77,95,127,144,False,,3838,Lavender Blue Dark,#5C7294,92,114,148,13.92838827718412
100,78,89,126,121,False,,3768,Gray Green Dark,#657F7F,101,127,127,13.45362404707371
100,79,7,15,27,True,,3371,Black Brown,#1E1108,30,17,8,29.899832775452108
100,80,249,211,108,False,,743,Yellow Medium,#FED376,254,211,118,11.180339887498949
100,81,20,27,37,True,,3371,Black Brown,#1E1108,30,17,8,32.264531609803356
100,82,147,135,100,False,,840,Beige Brown Medium,#9A7C5C,154,124,92,15.297058540778355
100,83,229,137,57,True,,3853,Autumn Gold Dark,#F29746,242,151,70,23.108440016582687
100,84,172,172,172,False,,318,Steel Gray Light,#ABABAB,171,171,171,1.7320508075688772
100,85,60,77,83,False,,3750,Antique Blue Very Dark,#384C5E,56,76,94,11.74734012447073
100,86,64,57,52,False,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,15.165750888103101
100,87,169,110,64,False,,3826,Golden Brown,#AD7239,173,114,57,9.0
100,88,244,179,88,False,,742,Tangerine Light,#FFBF57,255,191,87,16.30950643030009
100,89,14,14,14,False,,3371,Black Brown,#1E1108,30,17,8,17.349351572897472
100,90,48,39,34,True,,934,Avocado Grn Black,#313919,49,57,25,20.149441679609886
100,91,83,58,40,False,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,8.48528137423857
100,92,148,94,55,False,,434,Brown Light,#985E33,152,94,51,5.656854249492381
100,93,35,49,60,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,25.96150997149434
100,94,128,119,96,False,,640,Beige Gray Very Dark,#857B61,133,123,97,6.48074069840786
100,95,166,158,107,False,,642,Beige Gray Dark,#A49878,164,152,120,14.45683229480096
100,96,186,129,73,False,,435,Brown Very Light,#B87748,184,119,72,10.246950765959598
100,97,88,109,106,False,,924,Gray Green Vy Dark,#566A6A,86,106,106,3.605551275463989
100,98,207,105,36,False,,921,Copper,#C66218,198,98,24,16.55294535724685
100,99,166,86,38,False,,301,Mahogany Medium,#B35F2B,179,95,43,16.583123951777
