K,ColorID,Red,Green,Blue,Unmapped,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
50,0,174,104,53,False,,3826,Golden Brown,#AD7239,173,114,57,10.816653826391969
50,1,12,43,66,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,22.869193252058544
50,2,239,204,154,False,,738,Tan Very Light,#ECCC9E,236,204,158,5.0
50,3,59,100,113,False,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,7.14142842854285
50,4,234,171,86,False,,3820,Straw Dark,#DFB65F,223,182,95,17.97220075561143
50,5,3,3,5,False,,310,Black,#000000,0,0,0,6.557438524302
50,6,206,178,160,False,,3864,Mocha Beige Light,#CBB69C,203,182,156,6.4031242374328485
50,7,91,70,54,False,,838,Beige Brown Very Dark,#594937,89,73,55,3.7416573867739413
50,8,125,149,162,False,,3839,Lavender Blue Medium,#7B8EAB,123,142,171,11.575836902790225
50,9,191,164,103,False,,371,Mustard,#BFA671,191,166,113,10.198039027185569
50,10,231,117,36,False,,922,Copper Light,#E27323,226,115,35,5.477225575051661
50,11,24,24,28,True,,3371,Black Brown,#1E1108,30,17,8,22.02271554554524
50,12,26,72,98,False,,311,Wedgewood Ultra Very Dark,#1C5066,28,80,102,9.16515138991168
50,13,139,99,67,False,,869,Hazelnut Brown Very Dark,#835E39,131,94,57,13.74772708486752
50,14,61,61,61,False,,3799,Pewter Gray Very Dark,#424242,66,66,66,8.660254037844387
50,15,126,121,101,False,,640,Beige Gray Very Dark,#857B61,133,123,97,8.306623862918075
50,16,183,137,81,False,,831,Golden Olive Medium,#AA8F56,170,143,86,15.165750888103101
50,17,74,113,121,False,,991,Aquamarine Dark,#477B6E,71,123,110,15.165750888103101
50,18,239,141,54,False,,3853,Autumn Gold Dark,#F29746,242,151,70,19.1049731745428
50,19,101,96,86,False,,535,Ash Gray Very Light,#636458,99,100,88,4.898979485566356
50,20,183,196,201,False,,927,Gray Green Light,#BDCBCB,189,203,203,9.433981132056603
50,21,249,194,85,False,,742,Tangerine Light,#FFBF57,255,191,87,7.0
50,22,172,80,27,False,,920,Copper Medium,#AC5414,172,84,20,8.06225774829855
50,23,38,37,39,True,,934,Avocado Grn Black,#313919,49,57,25,26.77685567799177
50,24,6,11,20,True,,310,Black,#000000,0,0,0,23.600847442411894
50,25,220,218,214,False,,02,Tin,#D7D7D8,215,215,216,6.164414002968976
50,26,250,170,64,True,,3853,Autumn Gold Dark,#F29746,242,151,70,21.470910553583888
50,27,103,133,124,False,,3768,Gray Green Dark,#657F7F,101,127,127,7.0
50,28,126,71,39,False,,433,Brown Medium,#7A451F,122,69,31,9.16515138991168
50,29,72,78,79,False,,844,Beaver Gray Ultra Dark,#484848,72,72,72,9.219544457292887
50,30,43,47,52,True,,934,Avocado Grn Black,#313919,49,57,25,29.410882339705484
50,31,170,177,184,False,,04,Tin Dark,#AEAEB1,174,174,177,8.602325267042627
50,32,169,168,168,False,,318,Steel Gray Light,#ABABAB,171,171,171,4.69041575982343
50,33,200,99,33,False,,921,Copper,#C66218,198,98,24,9.273618495495704
50,34,217,150,75,False,,977,Golden Brown Light,#DC9C56,220,156,86,12.884098726725126
50,35,241,203,113,False,,3821,Straw,#F3CE75,243,206,117,5.385164807134504
50,36,23,56,77,False,,939,Navy Blue Very Dark,#1B2853,27,40,83,17.549928774784245
50,37,154,149,111,False,,642,Beige Gray Dark,#A49878,164,152,120,13.784048752090222
50,38,229,92,11,False,,946,Burnt Orange Medium,#EB6307,235,99,7,10.04987562112089
50,39,152,123,84,False,,611,Drab Brown,#967656,150,118,86,5.744562646538029
50,40,149,83,43,False,,434,Brown Light,#985E33,152,94,51,13.92838827718412
50,41,215,199,188,False,,06,Driftwood Medium Light,#DCC6B8,220,198,184,6.48074069840786
50,42,42,88,108,False,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,16.15549442140351
50,43,8,17,30,True,,3371,Black Brown,#1E1108,30,17,8,31.11269837220809
50,44,69,52,40,False,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,10.198039027185569
50,45,94,110,104,False,,924,Gray Green Vy Dark,#566A6A,86,106,106,9.16515138991168
50,46,19,32,45,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,39.64845520319802
50,47,206,125,57,False,,3776,Mahogany Light,#CF7939,207,121,57,4.123105625617661
50,48,250,236,189,False,,739,Tan Ultra Very Light,#F8E4C8,248,228,200,13.74772708486752
50,49,116,86,60,False,,3781,Mocha Brown Dark,#6B5743,107,87,67,11.445523142259598
