K,ColorID,Red,Green,Blue,Unmapped,Color,DMC,Floss Name,Hex Code,Red,Green,Blue,Distance
300,0,166,101,54,False,,3826,Golden Brown,#AD7239,173,114,57,15.066519173319364
300,1,20,40,57,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,26.92582403567252
300,2,237,209,129,False,,3821,Straw,#F3CE75,243,206,117,13.74772708486752
300,3,72,91,93,False,,413,Pewter Gray Dark,#565656,86,86,86,16.431676725154983
300,4,9,13,20,True,,3371,Black Brown,#1E1108,30,17,8,24.515301344262525
300,5,168,176,185,False,,04,Tin Dark,#AEAEB1,174,174,177,10.198039027185569
300,6,215,119,47,False,,3776,Mahogany Light,#CF7939,207,121,57,12.96148139681572
300,7,160,143,99,False,,3863,Mocha Beige Medium,#A4835C,164,131,92,14.45683229480096
300,8,100,73,49,False,,838,Beige Brown Very Dark,#594937,89,73,55,12.529964086141668
300,9,23,68,97,False,,796,Royal Blue Dark,#11416D,17,65,109,13.74772708486752
300,10,254,186,66,False,,725,Topaz Medium Light,#FFC840,255,200,64,14.177446878757825
300,11,123,115,98,False,,640,Beige Gray Very Dark,#857B61,133,123,97,12.84523257866513
300,12,233,206,182,False,,05,Driftwood Light,#E3CCBE,227,204,190,10.198039027185569
300,13,61,61,62,False,,3799,Pewter Gray Very Dark,#424242,66,66,66,8.12403840463596
300,14,212,158,80,False,,977,Golden Brown Light,#DC9C56,220,156,86,10.198039027185569
300,15,85,118,138,False,,3838,Lavender Blue Dark,#5C7294,92,114,148,12.84523257866513
300,16,140,69,29,False,,400,Mahogany Dark,#8F430F,143,67,15,14.45683229480096
300,17,45,93,112,False,,803,Baby Blue Ultra Very Dark,#2C597C,44,89,124,12.68857754044952
300,18,226,89,10,False,,946,Burnt Orange Medium,#EB6307,235,99,7,13.784048752090222
300,19,27,31,39,True,,3371,Black Brown,#1E1108,30,17,8,34.14674215792775
300,20,113,95,75,False,,610,Drab Brown Dark,#796047,121,96,71,9.0
300,21,238,139,54,True,,3853,Autumn Gold Dark,#F29746,242,151,70,20.396078054371138
300,22,46,49,53,True,,934,Avocado Grn Black,#313919,49,57,25,29.274562336608895
300,23,1,1,2,False,,310,Black,#000000,0,0,0,2.449489742783178
300,24,200,181,172,False,,452,Shell Gray Medium,#C0B3AE,192,179,174,8.48528137423857
300,25,183,195,200,False,,927,Gray Green Light,#BDCBCB,189,203,203,10.44030650891055
300,26,113,139,154,False,,931,Antique Blue Medium,#6A859E,106,133,158,10.04987562112089
300,27,71,113,119,False,,991,Aquamarine Dark,#477B6E,71,123,110,13.45362404707371
300,28,111,139,122,False,,3768,Gray Green Dark,#657F7F,101,127,127,16.401219466856727
300,29,182,76,18,False,,920,Copper Medium,#AC5414,172,84,20,12.96148139681572
300,30,185,131,78,False,,435,Brown Very Light,#B87748,184,119,72,13.45362404707371
300,31,18,23,32,True,,3371,Black Brown,#1E1108,30,17,8,27.49545416973504
300,32,134,104,57,False,,869,Hazelnut Brown Very Dark,#835E39,131,94,57,10.44030650891055
300,33,10,43,67,True,,939,Navy Blue Very Dark,#1B2853,27,40,83,23.53720459187964
300,34,238,162,74,False,,3853,Autumn Gold Dark,#F29746,242,151,70,12.36931687685298
300,35,76,59,44,False,,3031,Mocha Brown Very Dark,#4B3C2A,75,60,42,2.449489742783178
300,36,25,55,75,False,,939,Navy Blue Very Dark,#1B2853,27,40,83,17.11724276862369
300,37,166,163,163,False,,318,Steel Gray Light,#ABABAB,171,171,171,12.36931687685298
300,38,247,191,84,False,,742,Tangerine Light,#FFBF57,255,191,87,8.54400374531753
300,39,92,110,104,False,,924,Gray Green Vy Dark,#566A6A,86,106,106,7.483314773547883
300,40,185,170,103,False,,371,Mustard,#BFA671,191,166,113,12.328828005937952
300,41,158,87,42,False,,434,Brown Light,#985E33,152,94,51,12.884098726725126
300,42,112,62,34,False,,433,Brown Medium,#7A451F,122,69,31,12.569805089976535
300,43,253,249,203,False,,3078,Golden Yellow Very Light,#FDF9CD,253,249,205,2.0
300,44,146,117,86,False,,611,Drab Brown,#967656,150,118,86,4.123105625617661
300,45,193,101,39,False,,301,Mahogany Medium,#B35F2B,179,95,43,15.748015748023622
300,46,8,7,8,False,,310,Black,#000000,0,0,0,13.30413469565007
300,47,233,110,29,False,,922,Copper Light,#E27323,226,115,35,10.488088481701515
300,48,186,151,126,False,,841,Beige Brown Light,#B69B7E,182,155,126,5.656854249492381
300,49,152,158,114,False,,522,Fern Green,#969E7E,150,158,126,12.165525060596439
300,50,49,40,37,True,,934,Avocado Grn Black,#313919,49,57,25,20.808652046684813
300,51,79,76,70,False,,3021,Brown Gray Very Dark,#4F4B41,79,75,65,5.0990195135927845
300,52,213,136,63,False,,3776,Mahogany Light,#CF7939,207,121,57,17.233687939614086
300,53,144,87,51,False,,434,Brown Light,#985E33,152,94,51,10.63014581273465
300,54,251,163,61,False,,3853,Autumn Gold Dark,#F29746,242,151,70,17.4928556845359
300,55,58,104,117,False,,3808,Turquoise Ultra Very Dark,#366970,54,105,112,6.48074069840786
300,56,149,105,67,False,,420,Hazelnut Brown Dark,#A07042,160,112,66,13.076696830622021
300,57,42,64,77,True,,3750,Antique Blue Very Dark,#384C5E,56,76,94,25.079872407968907
300,58,202,212,217,False,,3752,Antique Blue Very Light,#C7D1DB,199,209,219,4.69041575982343
300,59,213,199,191,False,,06,Driftwood Medium Light,#DCC6B8,220,198,184,9.9498743710662
